Ticker,Sector,ETF_Ref,Score,Senales,Precio,Target_1pct,Stop,RR,Absorcion_Vol,RS_vs_ETF,RS_ETF_vs_SPY,Ret_5d_pct,Squeeze_Ratio,Gap_pct,PC_Ratio,TradingView
ADSK,Technology,XLK,2,absorcion + opciones,236.97,239.34,235.79,2.0,3.24,,,,,,0.344,https://www.tradingview.com/chart/?symbol=ADSK
ANET,Technology,XLK,2,rs + opciones,173.72,175.46,172.85,2.0,,1.054,1.056,12.58,,,0.311,https://www.tradingview.com/chart/?symbol=ANET
AVGO,Technology,XLK,2,rs + gap,477.98,482.76,475.6,2.0,,1.061,1.056,13.3,,6.1,,https://www.tradingview.com/chart/?symbol=AVGO
CARR,Industrials,XLI,2,gap + opciones,66.85,67.52,66.52,2.0,,,,,,2.7,0.064,https://www.tradingview.com/chart/?symbol=CARR
CRM,Technology,XLK,2,rs + opciones,198.06,200.04,197.07,2.0,,1.044,1.056,11.58,,,0.397,https://www.tradingview.com/chart/?symbol=CRM
DE,Industrials,XLI,2,gap + opciones,570.17,575.87,567.32,2.0,,,,,,3.61,0.462,https://www.tradingview.com/chart/?symbol=DE
DVN,Energy,XLE,2,rs + opciones,46.83,47.29,46.59,2.0,,1.038,1.007,5.77,,,0.477,https://www.tradingview.com/chart/?symbol=DVN
ETN,Industrials,XLI,2,gap + opciones,412.56,416.69,410.5,2.0,,,,,,1.38,0.251,https://www.tradingview.com/chart/?symbol=ETN
FANG,Energy,XLE,2,rs + opciones,203.35,205.38,202.33,2.0,,1.035,1.007,5.45,,,0.072,https://www.tradingview.com/chart/?symbol=FANG
FCX,Basic Materials,XLB,2,gap + opciones,71.06,71.77,70.7,2.0,,,,,,1.24,0.72,https://www.tradingview.com/chart/?symbol=FCX
GEN,Technology,XLK,2,rs + opciones,27.17,27.44,27.03,2.0,,1.034,1.056,10.45,,,0.085,https://www.tradingview.com/chart/?symbol=GEN
GLW,Technology,XLK,2,gap + opciones,198.78,200.77,197.79,2.0,,,,,,5.55,0.425,https://www.tradingview.com/chart/?symbol=GLW
GNRC,Industrials,XLI,2,gap + opciones,281.94,284.76,280.53,2.0,,,,,,7.7,0.382,https://www.tradingview.com/chart/?symbol=GNRC
HPE,Technology,XLK,2,rs + opciones,53.96,54.5,53.69,2.0,,1.358,1.056,45.05,,,0.478,https://www.tradingview.com/chart/?symbol=HPE
IBM,Technology,XLK,2,rs + opciones,325.89,329.15,324.26,2.0,,1.195,1.056,27.7,,,0.294,https://www.tradingview.com/chart/?symbol=IBM
JCI,Industrials,XLI,2,gap + opciones,140.65,142.06,139.95,2.0,,,,,,2.62,0.208,https://www.tradingview.com/chart/?symbol=JCI
MPC,Energy,XLE,2,rs + opciones,264.12,266.76,262.8,2.0,,1.049,1.007,6.91,,,0.179,https://www.tradingview.com/chart/?symbol=MPC
MRVL,Technology,XLK,2,rs + opciones,284.35,287.19,282.93,2.0,,1.339,1.056,43.11,,,0.378,https://www.tradingview.com/chart/?symbol=MRVL
NXPI,Technology,XLK,2,gap + opciones,320.8,324.01,319.2,2.0,,,,,,3.05,0.092,https://www.tradingview.com/chart/?symbol=NXPI
STZ,Consumer Defensive,XLP,2,squeeze + opciones,136.13,137.49,135.45,2.0,,,,,0.557,,0.089,https://www.tradingview.com/chart/?symbol=STZ
SWKS,Technology,XLK,2,gap + opciones,78.96,79.74,78.56,2.0,,,,,,2.25,0.133,https://www.tradingview.com/chart/?symbol=SWKS
TJX,Consumer Cyclical,XLY,2,squeeze + opciones,153.35,154.88,152.58,2.0,,,,,0.532,,0.296,https://www.tradingview.com/chart/?symbol=TJX
VLO,Energy,XLE,2,rs + opciones,259.02,261.61,257.72,2.0,,1.058,1.007,7.77,,,0.228,https://www.tradingview.com/chart/?symbol=VLO
XOM,Energy,XLE,2,squeeze + opciones,150.27,151.77,149.52,2.0,,,,,0.514,,0.441,https://www.tradingview.com/chart/?symbol=XOM
ZS,Technology,XLK,2,rs + opciones,143.08,144.51,142.36,2.0,,1.059,1.056,13.19,,,0.451,https://www.tradingview.com/chart/?symbol=ZS
