ticker,byma,ratio,nombre,tipo,fuente
ABNB,ABNB,15.0,AIRBNB INC,Accion,CajaValores
ARKK,ARKK,10.0,ARK INNOVATION,Accion,CajaValores
BITF,BITF,0.2,BITFARMS LTD.,Accion,CajaValores
CIBR,CIBR,10.0,FIRST TRUST NASDAQ CYBERSECURITY,Accion,CajaValores
DIA,DIA,20.0,SPDR DOW JONES INDUSTRIAL,Accion,CajaValores
EEM,EEM,5.0,ISHARES MSCI EMERGING MARKET,Accion,CajaValores
ETHA,ETHA,5.0,ISHARES ETHEREUM TR ETF,Accion,CajaValores
EWZ,EWZ,2.0,ISHARES MSCI BRAZIL CAP,Accion,CajaValores
F,F,1.0,FORD MOTOR COMPANY,Accion,CajaValores
GLD,GLD,50.0,ETF SPDR GOLD TRUST,Accion,CajaValores
HUT,HUT,0.2,HUT 8 MINING CORP.,Accion,CajaValores
ITA,ITA,50.0,ISHARES US AEROSPACE & DEFENSE ETF,Accion,CajaValores
IWM,IWM,10.0,ISHARES TRUST RUSSELL 2000,Accion,CajaValores
JMIA,JMIA,1.0,ADR JUMIA TECHNOLOGIES AG,Accion,CajaValores
MOS,MOS,5.0,THE MOSAIC CO,Accion,CajaValores
MSTR,MSTR,20.0,MICROSTRATEGY INC CL A NEW,Accion,CajaValores
MU,MU,5.0,MICRON TECHNOLOGY INC,Accion,CajaValores
OXY,OXY,5.0,OCCIDENTAL PETROLEUM CORP.,Accion,CajaValores
PANW,PANW,50.0,PALO ALTO NETWORKS INC,Accion,CajaValores
QQQ,QQQ,20.0,INVESCO QQQ TRUST,Accion,CajaValores
RBLX,RBLX,2.0,ROBLOX CORP.,Accion,CajaValores
SATL,SATL,1.0,SATELLOGIC INC.,Accion,CajaValores
SH,SH,8.0,PROSHARES  SHORT S&P500,Accion,CajaValores
SI,SI,10.0,SILVERGATE BANCORP,Accion,CajaValores
SMH,SMH,50.0,VAN ECK SEMICONDUCTOR ETF,Accion,CajaValores
SPXL,SPXL,25.0,DIREXION DAILY S&P 500 BULL 3X,Accion,CajaValores
SPY,SPY,20.0,SPDR S&P 500,Accion,CajaValores
TQQQ,TQQQ,25.0,PROSHARES ULTRAPRO QQQ,Accion,CajaValores
UAL,UAL,5.0,UNITED AIRLINES HOLDINGS INC.,Accion,CajaValores
UBER,UBER,2.0,UBER TECHNOLOGIES INC.,Accion,CajaValores
UPST,UPST,5.0,UPSTART HLDGS INC,Accion,CajaValores
URA,URA,5.0,GLOBAL X URANIUM ETF,Accion,CajaValores
VXX,VXX,5.0,IPATH SERIES B S&P 500 VIX,Accion,CajaValores
XLE,XLE,2.0,ENERGY SELECT SECTOR SPDR FUND,Accion,CajaValores
XLF,XLF,2.0,FINANCIAL SELECT SECTOR SPDR FUND,Accion,CajaValores
XLU,XLU,15.0,UTILITIES SELECT SECTOR SPDR FUND,Accion,CajaValores
ABEV3,ABEV3,1.0,AMBEV S.A.,Brasil,CajaValores
BBAS3,BBAS3,2.0,BANCO DO BRASIL S.A.,Brasil,CajaValores
BBDC3,BBDC3,1.0,BANCO BRADESCO S.A.,Brasil,CajaValores
BPAC11,BPA11,1.0,BANCO BTG PACTUAL S.A. UNIT,Brasil,CajaValores
CSNA3,CSNA3,1.0,COMPANHIA SIDERÚRGICA NACIONAL S.A.,Brasil,CajaValores
HAPV3,HAPV3,1.0,HAPVIDA PARTICIPACOES E INVESTIMENTOS S.A.,Brasil,CajaValores
ITUB3,ITUB3,1.0,BANCO ITAÚ UNIBANCO S.A.,Brasil,CajaValores
LREN3,LREN3,1.0,LOJAS RENNER S.A.,Brasil,CajaValores
MGLU3,MGLU3,1.0,MAGAZINE LUIZA S.A.,Brasil,CajaValores
NATU3,NATU3,1.0,NATURA COSMETICOS SA,Brasil,CajaValores
PETR3,PETR3,1.0,PETROBRAS - PETROLEO BRASILERO S.A.,Brasil,CajaValores
PRIO3,PRIO3,2.0,PETRO RIO S.A.,Brasil,CajaValores
RENT3,RENT3,2.0,LOCALIZA RENT A CAR S.A.,Brasil,CajaValores
SBSP3,SBSP3,1.0,CIA SANEAMENTO BASICO DE SP,Brasil,CajaValores
SUZB3,SUZB3,1.0,SUZANO S.A.,Brasil,CajaValores
TIMS3,TIMS3,1.0,TIM S.A.,Brasil,CajaValores
VALE3,VALE3,1.0,VALE S.A.,Brasil,CajaValores
VIVT3,VIVT3,1.0,TELEFONICA BRASIL S.A.,Brasil,CajaValores
WEGE3,WEGE3,1.0,WEG S.A.,Brasil,CajaValores
